,point-1,point-2,point-3,point-4,point-5,point-6,point-7,point-8,point-9,point-10,point-11,point-12,point-13,point-14,point-15,point-16,point-17,point-18,point-19,point-20,point-21,point-22,point-23,point-24,point-25,point-26,point-27,point-28,point-29,point-30,point-31,point-32,point-33,point-34,point-35,point-36,point-37,point-38,point-39,point-40,point-41,point-42,point-43,point-44,point-45,point-46,point-47,point-48,point-49,point-50
run-11,0.999,0.996,0.985,0.963,0.932,0.901,0.865,0.808,0.762,0.704,0.642,0.575,0.51,0.449,0.395,0.318,0.276,0.221,0.166,0.116,0.074,0.043,0.024,0.009,0.0,0.004,0.007,0.023,0.058,0.091,0.129,0.164,0.208,0.276,0.339,0.386,0.458,0.512,0.577,0.639,0.701,0.759,0.805,0.853,0.898,0.934,0.956,0.981,1.0,1.0
run-12,1.0,0.994,0.984,0.966,0.938,0.902,0.86,0.821,0.758,0.699,0.648,0.587,0.513,0.448,0.393,0.317,0.264,0.213,0.157,0.132,0.076,0.054,0.03,0.005,0.0,0.005,0.015,0.017,0.045,0.087,0.114,0.169,0.223,0.264,0.325,0.386,0.453,0.522,0.571,0.643,0.7,0.768,0.818,0.862,0.905,0.934,0.967,0.979,0.999,1.0
run-13,1.0,1.0,0.982,0.963,0.935,0.899,0.858,0.808,0.76,0.703,0.641,0.591,0.516,0.461,0.385,0.32,0.27,0.202,0.172,0.113,0.081,0.054,0.032,0.008,0.001,0.004,0.013,0.022,0.053,0.083,0.117,0.155,0.217,0.278,0.329,0.391,0.452,0.516,0.58,0.639,0.702,0.764,0.811,0.866,0.901,0.938,0.963,0.982,0.994,0.999
run-14,1.0,0.998,0.984,0.964,0.938,0.898,0.848,0.814,0.762,0.702,0.643,0.58,0.52,0.448,0.404,0.325,0.266,0.211,0.163,0.115,0.086,0.049,0.021,0.009,0.0,0.0,0.007,0.025,0.05,0.081,0.123,0.163,0.216,0.27,0.328,0.384,0.448,0.52,0.573,0.66,0.703,0.765,0.814,0.863,0.897,0.923,0.965,0.984,0.992,0.999
run-15,0.997,0.995,0.982,0.963,0.936,0.899,0.861,0.807,0.764,0.694,0.642,0.572,0.522,0.451,0.404,0.319,0.264,0.215,0.164,0.117,0.078,0.048,0.025,0.012,0.002,0.0,0.003,0.03,0.052,0.077,0.113,0.168,0.213,0.274,0.328,0.395,0.452,0.524,0.582,0.641,0.705,0.748,0.815,0.861,0.903,0.933,0.963,0.987,0.992,0.999
run-16,0.999,0.993,0.985,0.957,0.931,0.903,0.854,0.815,0.762,0.71,0.64,0.569,0.522,0.459,0.387,0.33,0.261,0.217,0.149,0.112,0.081,0.046,0.03,0.011,0.0,0.001,0.011,0.021,0.047,0.082,0.117,0.169,0.221,0.281,0.327,0.386,0.443,0.518,0.583,0.638,0.711,0.76,0.808,0.862,0.904,0.939,0.97,0.988,0.995,1.0
run-17,1.0,0.998,0.98,0.958,0.933,0.907,0.859,0.813,0.757,0.695,0.647,0.581,0.514,0.453,0.392,0.329,0.262,0.218,0.167,0.123,0.083,0.048,0.032,0.0,0.0,0.003,0.007,0.024,0.05,0.084,0.118,0.169,0.214,0.266,0.33,0.389,0.45,0.518,0.574,0.641,0.693,0.759,0.819,0.857,0.892,0.934,0.963,0.978,0.992,0.997
run-18,0.999,0.996,0.984,0.967,0.939,0.895,0.869,0.812,0.757,0.706,0.641,0.584,0.515,0.463,0.392,0.325,0.274,0.206,0.169,0.125,0.082,0.049,0.024,0.009,0.0,0.0,0.013,0.023,0.053,0.081,0.11,0.158,0.207,0.273,0.326,0.396,0.467,0.52,0.583,0.637,0.695,0.76,0.811,0.858,0.896,0.944,0.964,0.984,0.993,0.996
run-19,1.0,0.996,0.982,0.961,0.937,0.9,0.859,0.813,0.75,0.704,0.644,0.59,0.515,0.454,0.387,0.334,0.262,0.208,0.166,0.126,0.078,0.048,0.021,0.005,0.004,0.0,0.013,0.018,0.05,0.083,0.122,0.166,0.211,0.266,0.327,0.387,0.458,0.514,0.582,0.645,0.701,0.763,0.818,0.863,0.902,0.932,0.963,0.986,0.999,1.0
run-20,0.998,0.998,0.985,0.96,0.937,0.89,0.861,0.805,0.757,0.698,0.644,0.584,0.507,0.452,0.386,0.326,0.28,0.226,0.156,0.13,0.082,0.047,0.028,0.009,0.0,0.004,0.002,0.023,0.045,0.09,0.109,0.167,0.216,0.259,0.328,0.393,0.447,0.522,0.586,0.648,0.699,0.753,0.806,0.86,0.901,0.932,0.962,0.982,0.994,1.0
mean,0.9995,0.9963,0.9832999999999998,0.9627499999999998,0.9363000000000001,0.8999499999999999,0.8591000000000001,0.8118500000000001,0.7580499999999999,0.7011000000000001,0.6423500000000001,0.5786499999999999,0.5153000000000001,0.45305000000000006,0.3906,0.32505,0.26780000000000004,0.21259999999999998,0.1637,0.12010000000000001,0.0809,0.05025000000000002,0.026850000000000013,0.009350000000000002,0.0012000000000000001,0.0030000000000000005,0.009350000000000002,0.02360000000000001,0.04895000000000002,0.08174999999999999,0.11979999999999999,0.1638,0.21425,0.27030000000000004,0.32905000000000006,0.38954999999999995,0.4525,0.51685,0.5779500000000001,0.64375,0.7009,0.7596499999999999,0.8115499999999999,0.8595499999999999,0.89985,0.9350499999999998,0.9629999999999999,0.98335,0.9953,0.9989500000000001
error,0.0006999999999999784,0.001529999999999998,0.0015000000000000013,0.0029000000000000414,0.002329999999999971,0.002765000000000034,0.004389999999999994,0.003964999999999946,0.003950000000000004,0.0039899999999999936,0.0033850000000000104,0.006485000000000013,0.004600000000000004,0.004060000000000013,0.0047000000000000045,0.004760000000000003,0.004620000000000002,0.0046000000000000025,0.004090000000000001,0.0046099999999999995,0.0033200000000000013,0.003275000000000001,0.0032500000000000003,0.0029850000000000002,0.00146,0.0026000000000000003,0.00355,0.0026,0.0035549999999999983,0.0034500000000000004,0.00432,0.0035200000000000036,0.004125000000000002,0.004830000000000006,0.003270000000000023,0.0031599999999999905,0.004500000000000004,0.004450000000000004,0.004559999999999981,0.0041500000000000035,0.0041100000000000025,0.004855000000000026,0.003459999999999924,0.003350000000000003,0.0031799999999999997,0.0028549999999999574,0.002200000000000024,0.002215000000000006,0.002059999999999995,0.0010699999999999542
